city,years,area,rooms,price,avg_heat_per_m,created_at,updated_at,url
Vilnius,2018,"34,5",1,68900,"16,91",2019-11-26,2019-12-03,https://www.aruodas.lt/butai-vilniuje-pilaiteje-sidaroniu-g-dizainerio-irengtas-15-kambario-butas-jau-1-2752903/
Vilnius,2012,"68,97",3,249000,"57,93",2019-10-19,2019-12-03,https://www.aruodas.lt/butai-vilniuje-senamiestyje-traku-g-parduodamas-pilnai-irengtas-butas-vilniaus-1-2545215/
Vilnius,1940,"67,23",3,199000,"82,02",2019-11-11,2019-12-02,https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-parduodamas-tiesiogiai-savininko-isskirtinis-1-2812755/
Vilnius,2016,"68,69",3,123000,"26,79",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-grigalaukio-g-parduodamas-moderniai-bei-stilingai-irengtas-1-2823271/
Klaipėda,1978,48,2,61500,,2019-11-05,2019-12-02,https://www.aruodas.lt/butai-klaipedoje-sauliuose-siauliu-g-savininkas-parduoda-naujai-atremontuota-2-ju-1-2810057/
Kaunas,1935,"64,58",2,146000,,2019-11-13,2019-12-03,https://www.aruodas.lt/butai-kaune-centre-zemaiciu-g-parduodamas-naujai-suremontuotas-butas-1-2496273/
Vilnius,2016,53,2,129000,,2019-12-01,2019-12-03,https://www.aruodas.lt/butai-vilniuje-snipiskese-zalgirio-g-parduodamas-2-kambariu-butas-zalgirio-g-1-2822855/
Kaunas,2016,53,3,87000,,2019-12-02,2019-12-02,https://www.aruodas.lt/butai-kaune-vytenuose-uznerio-g-pilanai-irengtas-butas-vytenuose-1-2823391/
Vilnius,2019,"81,32",3,188000,,2019-11-15,2019-11-29,https://www.aruodas.lt/butai-vilniuje-antakalnyje-vaidilutes-g-demesio-gruodzio-10-d-antradieni-15-19-1-2814877/
Kaunas,1932,"60,82",2,44400,,2019-11-29,2019-12-03,https://www.aruodas.lt/butai-kaune-aleksote-erdves-g-nuo-siu-metu-lapkricio-dvidesimt-devintos-1-2821679/
