city,years,area,price,avg_heat_per_m,url
Vilnius,2009,75,165000,,https://www.aruodas.lt/butai-vilniuje-siaures-miestelyje-zygio-g-parduodamas-siaures-miestelyje-zygio-g-1-1852757/
Palanga,2018,"37,03",69246,,https://www.aruodas.lt/butai-palangoje-kunigiskiu-g-pristatome-jums-naujai-pastatyta-proketa-1-2771693/
Vilnius,2019,"69,9",129500,,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-mazvydo-g-nepraleiskite-progos-isigyti-naujai-irengto-3-1-2798273/
Kaunas,1932,82,69900,,https://www.aruodas.lt/butai-kaune-senamiestyje-m-dauksos-g-triju-kambariu-butas-senamiestyje-mdauksos-1-2785333/
Vilnius,1994,70,77000,"51,10",https://www.aruodas.lt/butai-vilniuje-pilaiteje-i-kanto-al-25-aukstas-virtuves-svetaines-su-1-2799335/
Klaipėda,1956,100,105000,,https://www.aruodas.lt/butai-klaipedoje-poilsyje-minijos-g-parduoda-savininkas-mes-susitarsime-del-1-2762593/
Klaipėda,1967,61,67000,,https://www.aruodas.lt/butai-klaipedoje-centre-sausio-15-osios-g-parduoda-savininkas-mes-susitarsime-del-1-2762237/
Vilnius,1988,67,77000,"52,26",https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-gabijos-g-parduodamas-3-kambariu-butas-gabijos-g-39-1-2799531/
Palanga,2019,"39,17",104000,,https://www.aruodas.lt/butai-palangoje-maironio-g-naujas-projektas-palangos-miesto-sirdyje-1-2795979/
Vilnius,2016,66,169900,"28,38",https://www.aruodas.lt/butai-vilniuje-naujamiestyje-mindaugo-g-parduodamas-graziai-irengtas-3-kambariu-butas-1-2799803/
Vilnius,1985,"99,74",169000,,https://www.aruodas.lt/butai-vilniuje-antakalnyje-lentupio-g-viena-is-geriausiu-vilniaus-vietu-gyventi-1-2712781/
Vilnius,2005,50,139000,,https://www.aruodas.lt/butai-vilniuje-antakalnyje-v-grybo-g-parduodamas-kokybiskai-irengtas-su-gera-1-2795553/
Vilnius,2015,"48,85",78500,,https://www.aruodas.lt/butai-vilniuje-fabijoniskese-eitminu-g-parduodamas-sviesus-ir-jaukus-49-kvm-1-2794339/
Vilnius,1982,"137,54",159000,"66,02",https://www.aruodas.lt/butai-vilniuje-antakalnyje-zirgo-g-parduodamas-keturiu-kambariu-butas-1-2799483/
Vilnius,2018,48,82500,,https://www.aruodas.lt/butai-vilniuje-pilaiteje-elbingo-g-parduodamas-ka-tik-irengtas-naujos-statybos-1-2795627/
Palanga,2018,"56,7",102060,,https://www.aruodas.lt/butai-palangoje-kunigiskiu-g-pristatome-jums-naujai-pastatyta-projekta-1-2775421/
Palanga,1959,50,119000,,https://www.aruodas.lt/butai-palangoje-vytauto-g-parduodamas-naujai-suremontuotas-butas-1-2775779/
Palanga,2019,"36,14",126000,,https://www.aruodas.lt/butai-palangoje-maironio-g-naujas-projektas-palangos-miesto-sirdyje-1-2777421/
Vilnius,1940,"70,22",154000,"87,78",https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-basanaviciaus-g-pacioje-senamiescio-sirdyje-j-basanaviciaus-1-2799931/
Palanga,2018,"29,27",54734,,https://www.aruodas.lt/butai-palangoje-kunigiskiu-g-pristatome-jums-naujai-pastatyta-projekta-1-2775425/
Kaunas,1982,"65,48",55000,"45,84",https://www.aruodas.lt/butai-kaune-aukstuosiuose-sanciuose-alsedziu-g-parduodamas-pilnai-irengtas-3-kambariu-butas-1-2798843/
Kaunas,1990,52,60999,"34,32",https://www.aruodas.lt/butai-kaune-silainiuose-baltu-pr-jaukus-butas-ateini-ir-gyveni-atokiau-nuo-1-2788679/
Kaunas,1976,83,69500,"33,20",https://www.aruodas.lt/butai-kaune-eiguliuose-p-plechaviciaus-g-renovuotas-namas-puiki-vieta-gyventi-1-2798029/
Vilnius,2016,88,138000,,https://www.aruodas.lt/butai-vilniuje-antakalnyje-kalno-g-parduodamas-jaukiai-ir-moderniai-irengtas-1-2781713/
Kaunas,1976,66,52000,"39,60",https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-siltas-ir-jaukus-puikioje-vietoje-dainavoje-1-2764421/
Panevėžys,1976,50,55000,"26,00",https://www.aruodas.lt/butai-panevezyje-klaipedos-klaipedos-g-kapitaliskai-suremontuotas-butas-pakeista-1-2659943/
Vilnius,2000,110,250000,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-vinco-kudirkos-g-prabangus-keturiu-kambariu-apartamentai-1-2794937/
Vilnius,1962,"48,09",123000,,https://www.aruodas.lt/butai-vilniuje-zveryne-kestucio-g-buta-parduoda-brokeris-kuris-dalinasi-50-1-2798361/
Vilnius,2010,"102,77",297000,"59,61",https://www.aruodas.lt/butai-vilniuje-senamiestyje-a-strazdelio-g-parduodami-prabangus-4-kambariu-apartamentai-1-2736391/
Vilnius,1980,24,56000,,https://www.aruodas.lt/butai-vilniuje-snipiskese-daugeliskio-g-parduodamas-stilingas-ir-itin-kokybiskai-1-2750301/
Vilnius,2003,"93,89",215000,"46,95",https://www.aruodas.lt/butai-vilniuje-antakalnyje-zolyno-g-prestizineje-vietoje-antakalnyje-misku-1-2796847/
Vilnius,2017,61,210000,,https://www.aruodas.lt/butai-vilniuje-valakampiuose-turniskiu-g-parduodamas-2-kambariu-butas-su-20-kvm-1-2793081/
Vilnius,1993,"70,34",76999,"55,57",https://www.aruodas.lt/butai-vilniuje-pilaiteje-papilenu-g-apsigyvenkite-erdviame-tvarkingame-ir-labai-1-2799599/
Kaunas,1986,64,57000,"46,72",https://www.aruodas.lt/butai-kaune-silainiuose-kursiu-g-silainiuose-parduodamas-myletas-ir-1-2792247/
Kaunas,1973,33,36990,"18,48",https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-parduodamas-jaukus-ir-kompaktiskas-1-kambario-1-2797575/
Kaunas,1975,48,49900,"24,48",https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-dainavoje-parduodamas-vidinis-kapitaliai-1-2799211/
Klaipėda,1978,48,62500,,https://www.aruodas.lt/butai-klaipedoje-debrecene-debreceno-g-parduodamas-2-ju-kambariu-butas-54a-namas-1-2793533/
Vilnius,1935,23,45000,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-svitrigailos-g-skubiai-parduodu-kompaktiska-jauku-butuka-1-2794001/
Vilnius,2019,48,74999,,https://www.aruodas.lt/butai-vilniuje-pilaiteje-bitenu-g-parduodami-katik-baigti-naujos-statybos-1-2798069/
Druskininkų m.,2007,"50,21",85000,,https://www.aruodas.lt/butai-druskininkuose-liepu-g-parduodami-butai-druskininku-senamiestyje-1-2334969/
Vilnius,1992,69,87000,"32,43",https://www.aruodas.lt/butai-vilniuje-fabijoniskese-s-staneviciaus-g-parduodamas-puikus-3-k-butas-prie-pusyno-1-2780965/
Vilnius,1940,145,358000,,https://www.aruodas.lt/butai-vilniuje-senamiestyje-vilniaus-g-prabangus-butas-per-du-aukstus-senamiescio-1-2794979/
Vilnius,2016,75,350000,,https://www.aruodas.lt/butai-vilniuje-senamiestyje-saltiniu-g-isskirtiniai-apartamentai-prestizinio-1-2794977/
Vilnius,2008,80,375000,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-m-valanciaus-g-isskirtinio-interjero-apartamentai-aukstomis-1-2794971/
Vilnius,2006,"117,22",477888,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-a-jaksto-g-prestiziniai-penkiu-kambariu-apartamentai-1-2794963/
Vilnius,2008,52,165000,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-m-valanciaus-g-prestizinis-dvieju-kambariu-butas-viename-1-2794951/
Vilnius,1940,"60,35",185000,,https://www.aruodas.lt/butai-vilniuje-senamiestyje-paupio-g-uzupis-vienas-seniausiu-vilniaus-rajonu-1-2794947/
Vilnius,1968,72,198000,,https://www.aruodas.lt/butai-vilniuje-antakalnyje-turniskiu-g-stilingas-triju-kambariu-butas-renovuotame-1-2794911/
Vilnius,2000,156,500000,,https://www.aruodas.lt/butai-vilniuje-senamiestyje-teatro-g-isskirtiniai-keturiu-kambariu-apartamentai-1-2794895/
Vilnius,2015,76,325000,,https://www.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-parduodami-isskirtiniai-triju-kambariu-1-2794891/
Vilnius,1965,44,71000,,https://www.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-jaukus-siltas-it-tvarkingas-butas-laukia-1-2796735/
Palanga,2021,"39,35",80000,,https://www.aruodas.lt/butai-palangoje-uzkanaves-g-naujas-projektas-butai-su-pilna-apdaila-1-2776485/
Kaunas,1937,"35,21",55900,,https://www.aruodas.lt/butai-kaune-centre-k-donelaicio-g-parduodamas-siuolaikiskai-irengtas-butas-1-2793485/
Kaunas,1980,57,58000,,https://www.aruodas.lt/butai-kaune-amaliuose-ateities-pl-labai-tvarkingas-3-kambariu-butas-su-baldais-1-2787283/
Vilnius,2001,92,237000,,https://www.aruodas.lt/butai-vilniuje-senamiestyje-pamenkalnio-g-parduodamas-erdvus-kokybiskai-irengtas-butas-1-2782973/
Kaunas,1970,47,53000,,https://www.aruodas.lt/butai-kaune-dainavoje-taikos-pr-parduodamas-3-kambariu-butas-taikos-pr-rami-1-2757565/
Palanga,2017,78,190000,,https://www.aruodas.lt/butai-palangoje-j-simpsono-g-sie-apartamentai-parduodami-su-baldais-bei-1-2721267/
Kaunas,1979,"64,73",53000,,https://www.aruodas.lt/butai-kaune-aleksote-antanavos-g-puikus-butas-sparciai-grazejanciame-kauno-1-2798845/
Vilnius,1968,"46,3",51900,"34,26",https://www.aruodas.lt/butai-vilniuje-zirmunuose-zirmunu-g-dvieju-nepereinamu-kambariu-butas-geroje-1-2797535/
Vilnius,2017,48,85900,"17,28",https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-eitminu-g-pasilaiciuose-eitminu-gatveje-parduodamas-1-2798765/
Kaunas,1984,"66,22",58000,"45,69",https://www.aruodas.lt/butai-kaune-zaliakalnyje-taikos-pr-parduodamas-butas-zaliakalnyje-triju-1-2726829/
Kaunas,1967,44,55900,,https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-parduodamas-naujai-suremontuotas-2-kambariu-1-2793685/
Palanga,2020,"54,55",60005,,https://www.aruodas.lt/butai-palangoje-mokyklos-g-kvieciu-jus-susipazinti-su-elijos-projektu-1-2751301/
Vilnius,1977,"48,44",65000,"39,72",https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsuliskiu-g-parduodamas-2-izoliuotu-kambariu-butas-1-2797453/
Vilnius,1961,58,67000,"46,40",https://www.aruodas.lt/butai-vilniuje-naujamiestyje-vytenio-g-parduodamas-3-ju-kambariu-butas-naujamiestyje-1-2749195/
Kėdainių r. sav.,1986,120,12200,,https://www.aruodas.lt/butai-kedainiuose-gudziunu-mstl-tuju-g-namo-dalis-2-ir-3-aukstas-skubiai-reikia-1-2755137/
Kėdainių m.,1991,"79,92",49000,,https://www.aruodas.lt/butai-kedainiuose-chemiku-g-galutine-kaina-derybu-klausimas-irengtas-4-1-2779607/
Kauno r. sav.,2019,73,75500,,https://www.aruodas.lt/butai-kauno-rajone-giraites-k-3k-butas-su-pilna-apdaila-parduodamas-1-2798797/
