city,years,area,price,avg_heat_per_m,url
Klaipėdos m.,1978,61,69500,,https://www.skelbiu.lt/skelbimai/savininkas-sauletas-3-k-but-2-5-statybininku-pr-44213385.html
Šiaulių m.,1967,"61,75",63500,,https://www.skelbiu.lt/skelbimai/jaukus-naujai-suremontuotas-4-kambariu-butas-43777685.html
Klaipėdos m.,1981,52,54900,,https://www.skelbiu.lt/skelbimai/savininke-parduoda-2-k-buta-alksnynes-g-2-aukstas-42659799.html
Klaipėdos m.,1980,50,51000,,https://www.skelbiu.lt/skelbimai/ateini-ir-gyveni-43516379.html
Gargždų m.,1980,48,40000,,https://www.skelbiu.lt/skelbimai/parduodu-buta-44226839.html
Jonavos m.,1971,64,39800,,https://www.skelbiu.lt/skelbimai/parduodu-3k-buta-jonavoje-44226011.html
Kretingos m.,2017,51,44900,,https://www.skelbiu.lt/skelbimai/parduodamas-sviesus-2k-butas-puikioje-vietoje-44225461.html
Palangos m.,2010,55,76000,,https://www.skelbiu.lt/skelbimai/prabangus-apartamentai-elija-komplekse-29709867.html
Utenos m.,1977,"34,40",24000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-utenoje-44224965.html
Panevėžio m.,1970,21,15900,,https://www.skelbiu.lt/skelbimai/1k-butas-panevezio-centre-ekonomiskas-ir-siltas-44224683.html
Vilniaus m.,2019,62,172000,,https://www.skelbiu.lt/skelbimai/isskirtinio-dizaino-butas-lazdyneliuose-44224195.html
Klaipėdos m.,1978,47,40000,,https://www.skelbiu.lt/skelbimai/butas-2-kamb-44224017.html
Kretingos m.,1972,29,23000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-kretingos-centre-44223653.html
Varėnos m.,1976,50,33000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44223283.html
Klaipėdos m.,2003,"70,43",125000,,https://www.skelbiu.lt/skelbimai/butas-su-terasa-ir-garazu-44222793.html
Rokiškio m.,1988,50,17700,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-rokiskyje-44221327.html
Viešvilės mstl.,2007,"43,28",3000,,https://www.skelbiu.lt/skelbimai/vieno-kambario-butas-su-virtuve-44219839.html
Šiaulių m.,1968,"44,08",44900,,https://www.skelbiu.lt/skelbimai/parduodamas-puikus-2k-butas-ezero-g-44217655.html
Rokiškio m.,1980,80,49500,,https://www.skelbiu.lt/skelbimai/4-kambariu-butas-44217463.html
Alytaus m.,2007,68,72000,,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-alytuje-vingio-g-6-40646899.html
Šilutės m.,1961,"36,57",22500,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-3-aukste-zalgirio-g-42965895.html
Kalnelio Gražionių k.,1984,69,11000,,https://www.skelbiu.lt/skelbimai/tvarkingas-3-kamb-butas-kalnelio-grazioniu-k-ra-42937635.html
Telšių m.,1922,33,28080,,https://www.skelbiu.lt/skelbimai/butas-miesto-centre-42874753.html
Velžio k.,1986,49,49000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-velzyje-43476351.html
Kėdainių m.,1986,36,1000,,https://www.skelbiu.lt/skelbimai/keiciu-buta-44214987.html
Marijampolės m.,1984,"48,82",35000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-k-butas-gara-as-ukines-patalpos-44213459.html
Panevėžio m.,1986,54,51000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-su-baldais-44211527.html
Šiaulių m.,1977,50,38000,,https://www.skelbiu.lt/skelbimai/parduodamas-2kamb-butas-44211091.html
Panevėžio m.,1974,"59,80",65000,,https://www.skelbiu.lt/skelbimai/parduodamas-isskirtinis-butas-miesto-centre-44211057.html
Marijampolės m.,1978,35,12200,,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-marijampoleje-44210843.html
Vilniaus m.,2008,64,88000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44210423.html
Vilniaus m.,1985,36,65000,,https://www.skelbiu.lt/skelbimai/2k-tvarkingas-irengtas-jaukus-butas-fabijoniskese-44210345.html
